"2014-06-22 13:56:18",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2014-06-22 13:56:28","AIR:401000000","building-toon",401000049,"2000|18"
"2014-06-22 13:56:28","AIR:401000000","building-toon",401000055,"2000|14"
"2014-06-22 13:56:28","AIR:401000000","building-toon",401000062,"2000|16"
"2014-06-22 13:56:28","AIR:401000000","building-toon",401000068,"2000|21"
"2014-06-22 13:56:28","AIR:401000000","building-toon",401000074,"2000|13"
"2014-06-22 13:56:28","AIR:401000000","building-toon",401000103,"2100|1"
"2014-06-22 13:56:28","AIR:401000000","building-toon",401000109,"2100|2"
"2014-06-22 13:56:28","AIR:401000000","building-toon",401000114,"2100|3"
"2014-06-22 13:56:28","AIR:401000000","building-toon",401000120,"2100|4"
"2014-06-22 13:56:28","AIR:401000000","building-toon",401000126,"2100|6"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000131,"2100|7"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000137,"2100|10"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000143,"2100|11"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000148,"2100|16"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000154,"2100|18"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000160,"2100|17"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000166,"2100|21"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000172,"2100|24"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000178,"2100|25"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000184,"2100|26"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000190,"2100|29"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000196,"2100|32"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000202,"2100|33"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000208,"2100|38"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000213,"2100|57"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000219,"2100|39"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000225,"2100|43"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000231,"2100|44"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000237,"2100|49"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000243,"2100|60"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000249,"2100|52"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000254,"2100|53"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000259,"2100|55"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000265,"2100|54"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000271,"2100|56"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000277,"2100|59"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000283,"2100|61"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000289,"2100|67"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000295,"2100|63"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000300,"2100|62"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000306,"2100|64"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000312,"2100|66"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000318,"2100|65"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000324,"2100|69"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000330,"2100|70"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000345,"2200|1"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000350,"2200|4"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000355,"2200|5"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000361,"2200|8"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000367,"2200|43"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000372,"2200|44"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000377,"2200|11"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000383,"2200|12"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000389,"2200|13"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000395,"2200|14"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000400,"2200|16"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000406,"2200|48"
"2014-06-22 13:56:29","AIR:401000000","building-toon",401000411,"2200|17"
